# File;RA;Decl;z_spec;SN_UV;M_UV;O3Hb_EW;Beta_UV;err_Beta_UV;DLya;err_DLya;SFR;err_SFR;Xi_ion;err_Xi_ion;O_32;err_O_32;OII_3727;err_OII_3727;NeIII_3870;err_NeIII_3870;HeI_3889;err_HeI_3889;Hdelta;err_Hdelta;Hgamma;err_Hgamma;Hbeta;err_Hbeta;OIII_4960;err_OIII_4960;OIII_5008;err_OIII_5008;Halpha;err_Halpha;SII_6725;err_SII_6725
ceers-v2_prism-clear_1345_1374.spec.fits;214.943911;52.85004190000001;5.001909;62.86987680415037;-20.185659830834446;1714.6631680020473;-2.113539310178177;0.05884531496444605;12.083816899412193;2.462878296304364;14.12615258932185;0.8158192129022253;3.5849519053275648e+25;2.0703957593573402e+24;4.878375595620666;0.3599633685799768;424.9139;30.571156;231.86588;41.55533;15.01464;39.64937;88.588356;22.685726;105.003174;24.662983;329.88617;19.051718;656.9525;22.125517;2072.8896;33.95197;1004.54694;21.831274;76.440384;12.745773
gds-egami-ddt-v2_prism-clear_6541_118675.spec.fits;53.116289;-27.78944000000002;5.00491;37.09903212910695;-18.234653440923477;180.6742282565434;-0.9290748976563442;0.005808818782466522;41.58821066290959;8.971210978412389;2.5645007284230914;0.36092547671446956;3.925227413381676e+25;5.524329003636594e+24;1.699875202266573;0.19341074556192314;146.53311;15.707503;33.990345;20.07132;-13.93962;19.732256;15.62933;11.458645;15.699548;12.922356;59.804348;8.416809;82.68456;8.312606;249.088;9.501803;367.44644;9.421221;49.134987;6.312289
uncover-v2_prism-clear_2561_42644.spec.fits;3.588418495868178;-30.34991720319647;5.015128;17.359079490191128;-18.259289833428127;856.6448544403378;-2.613372189396872;0.22387321508429484;36.77672996855052;8.297394017341976;0.9541814037396397;0.435412001390083;1.4277046951127943e+25;6.514901215395121e+24;7.457662269671792;9.241657917593342;15.991528;19.774227;8.087246;26.712507;22.889467;26.018734;24.13786;14.829524;51.955936;16.556465;22.145517;10.105441;40.030655;9.548451;119.259415;9.700822;121.636154;8.629444;-7.178643;7.0820713
abell2744-ddt-v2_prism-clear_2756_160345.spec.fits;3.552931;-30.4038875;5.017534;10.361444913155607;-19.010328545787843;1144.010377008256;-1.9748378580723114;0.00739599718228629;85.74402950261998;13.701851730186416;2.804781204590225;1.2446735068511443;2.101313946757266e+25;9.324969073613351e+24;6.1014114172244724;6.940412583140495;47.63014;53.9545;16.932096;72.203926;-51.712517;70.40305;12.953747;41.69829;-75.36951;48.7127;65.022835;28.855085;53.816784;30.831923;290.61108;30.110987;212.23755;26.096397;22.248125;24.18466
jades-gdn2-v2_prism-clear_1181_38493.spec.fits;189.0275316;62.2537411;5.02115;29.547856291607857;-19.164220145915138;2284.2014233161444;-2.301258520352127;0.13212271036951354;-65.43518332284788;5.190792887776032;5.9838501019109716;0.5688035655671131;3.890594963241949e+25;3.698261570026201e+24;5.783228044313196;1.0094109765216694;137.89662;23.779348;101.42105;31.590899;7.9374747;30.570173;54.364273;17.547903;76.89639;19.433592;138.48882;13.164256;260.99402;15.279958;797.4876;21.515972;409.39294;15.308033;-4.870529;10.735844
jades-gdn2-v2_prism-clear_1181_38493.spec.fits;189.0275316;62.2537411;5.02115;29.547856291607857;-19.164220145915138;2284.2014233161444;-2.301258520352127;0.13212271036951354;-65.43518332284788;5.190792887776032;5.9838501019109716;0.5688035655671131;3.890594963241949e+25;3.698261570026201e+24;5.783228044313196;1.0094109765216694;137.89662;23.779348;101.42105;31.590899;7.9374747;30.570173;54.364273;17.547903;76.89639;19.433592;138.48882;13.164256;260.99402;15.279958;797.4876;21.515972;409.39294;15.308033;-4.870529;10.735844
jades-gdn2-v2_prism-clear_1181_38493.spec.fits;189.0275316;62.2537411;5.02115;29.547856291607857;-19.164220145915138;2284.2014233161444;-2.301258520352127;0.13212271036951354;-65.43518332284788;5.190792887776032;5.9838501019109716;0.5688035655671131;3.890594963241949e+25;3.698261570026201e+24;5.783228044313196;1.0094109765216694;137.89662;23.779348;101.42105;31.590899;7.9374747;30.570173;54.364273;17.547903;76.89639;19.433592;138.48882;13.164256;260.99402;15.279958;797.4876;21.515972;409.39294;15.308033;-4.870529;10.735844
uncover-v2_prism-clear_2561_40074.spec.fits;3.541322786854551;-30.35454971943085;5.02476;25.578852434666622;-18.782725824094285;1216.0835618348283;-2.050507974084596;0.14848077661654102;33.81335947173778;5.707680614083749;2.186625343536773;0.47125755064972513;2.020260723191486e+25;4.3540294769708496e+24;-60.34761427616452;-581.5784650262175;-2.1527827;20.745958;23.095716;28.535057;-7.4904294;28.360012;-8.824767;16.06368;4.322016;17.684998;50.521618;10.888328;70.22402;10.106867;129.9153;10.3749075;114.762474;9.338379;2.6571183;9.504528
gds-udeep-v2_prism-clear_3215_201249.spec.fits;53.1307599;-27.80391190000001;5.03079;251.838723720718;-20.674675432567266;584.9042016054282;-1.7035524697295186;0.014190846795098173;51.95458472664971;0.4703670646989103;13.989437020843463;0.3145805948405536;2.2628378646728586e+25;5.088445520973488e+23;4.06788539952224;0.1305238153481735;473.25876;14.465672;170.68053;16.465466;46.420597;15.44844;67.41084;8.844614;138.94803;9.93818;322.3169;7.247943;715.55945;10.757283;1925.1624;18.788954;1031.5944;8.368697;90.381;2.927833
jades-gdn-v2_prism-clear_1181_68797.spec.fits;189.2291371;62.1461898;5.031994;19.08856094025906;-19.40181596141071;448.96731495422574;-2.102360227489229;0.18579914354773833;63.6857367315592;7.358187111590603;55.79481063341744;2.188967162759296;2.9146794315764986e+26;1.1435001738082075e+25;5.642315603904199;0.4413035047587951;604.75006;45.17947;356.0368;57.06242;38.72349;58.60627;87.9705;33.679424;213.83887;44.063766;1284.7932;50.405586;968.84753;52.236996;3412.1907;79.00284;16150.815;235.55309;69.55347;36.644726
ceers-v2_prism-clear_1345_1691.spec.fits;215.1854288;53.0593709;5.042257;5.4106645017048445;-17.0381388783931;10041.122216416812;-1.1617838317073568;0.6279266608396457;-283.0865253726841;44.37039933838672;3.431066742579641;0.7532220160785381;1.580873020362687e+26;3.47049023787421e+25;8.40071516427923;7.33012874788762;25.31726;22.016079;47.690742;28.56517;-42.467876;26.727365;6.3394537;21.533062;-12.764444;21.349426;78.631424;17.261955;186.7713;20.488712;212.68309;15.253859;147.82838;14.933675;9.313563;12.797712
jades-gdn-v2_prism-clear_1181_68913.spec.fits;189.2107339;62.1470852;5.042257;22.77171115794225;-19.692387924107525;72.81519207143953;-2.0620212894910757;0.15732776712133328;47.28960109717094;6.352191703287682;-0.6019350031102972;1.2203188435923211;-2.406122874808961e+24;4.87799690823076e+24;9.854170141917956;46.79230095513281;10.023256;47.518105;-67.59957;64.47293;63.36214;61.046307;-42.257294;40.390995;-8.413279;42.239986;-13.794837;27.96664;33.084103;26.024235;98.77087;26.684397;61.95743;22.175825;-35.64932;23.43478
