# RA Decl ProgramID SourceID SN50 z-spec
53.154087 -27.766062 1210.0 9842.0 10.13 5.8051
53.167303 -27.80287 1210.0 5113.0 2.84 5.8215
53.113511 -27.772836 1210.0 56849.0 3.15 5.8215
53.141967 -27.75523 1180.0 13638.0 3.35 5.829
53.166853 -27.804125 3215.0 201127.0 9.6 5.8304
3.613166 -30.36218 2561.0 35738.0 2.02 5.8427
3.619201 -30.42327 2561.0 4286.0 11.87 5.8434
53.17752 -27.80252 1180.0 9696.0 2.36 5.8639
215.188738 -53.064378 1345.0 1677.0 6.83 5.8744
189.270676 62.148418 1181.0 38147.0 6.4 5.8777
53.17655 -27.771106 1210.0 9414.0 2.64 5.8928
53.162801 -27.760838 1180.0 9365.0 2.16 5.9156
101.986107 70.214346 1433.0 1944.0 9.09 5.917
101.909231 70.247705 1433.0 3887.0 2.07 5.919
53.12259 -27.760569 1210.0 13620.0 8.72 5.9204
53.149865 -27.752831 1180.0 13651.0 4.12 5.9204
53.105473 -27.761147 1180.0 16431.0 3.78 5.9232
101.998053 70.258364 1433.0 4681.0 2.42 5.9253
24.346427 -8.464052 2282.0 11001.0 2.64 5.928
24.34805 -8.465453 2282.0 12000.0 3.93 5.928
24.346627 -8.464261 2282.0 10001.0 5.77 5.9294
24.348603 -8.465836 2282.0 10200.0 4.15 5.9294
24.34793 -8.465371 2282.0 12001.0 3.0 5.9301
3.553695 -30.330055 2561.0 51076.0 3.79 5.9301
24.349462 -8.466325 2282.0 13000.0 3.05 5.9308
53.126535 -27.818092 1210.0 13704.0 12.78 5.9315
24.349402 -8.466287 2282.0 13001.0 3.55 5.9315
24.346388 -8.464001 2282.0 11000.0 3.26 5.9322
53.126643 -27.817731 3215.0 99671.0 5.4 5.9322
53.110418 -27.808921 1210.0 15125.0 6.29 5.9412
53.121759 -27.797633 1210.0 13176.0 13.16 5.944
53.119112 -27.760802 1210.0 13618.0 22.4 5.9482
53.160634 -27.771604 1210.0 9880.0 4.22 5.9802
53.19938 -27.796274 1180.0 9735.0 3.41 5.9865
53.110517 -27.798489 3215.0 113056.0 3.5 5.9928
53.17324 27.795674 1180.0 9457.0 4.77 6.0019
214.836197 52.882693 1345.0 397.0 7.61 6.0084
214.876469 52.839412 1345.0 618.0 1.91 6.0541
34.25371 -5.209603 2565.0 19780.0 4.05 6.0616
214.867247 52.836737 1345.0 603.0 2.1 6.0619
53.125818 -27.818228 3215.0 99302.0 5.8 6.0694
214.79911 52.725119 1345.0 81063.0 2.01 6.0873
53.159527 -27.771524 1180.0 9877.0 5.83 6.1013
53.156129 -27.775854 1210.0 9867.0 9.09 6.1056
215.006802 52.965041 1345.0 1518.0 5.78 6.1072
214.806482 52.878827 1345.0 355.0 2.9 6.1086
101.952449 70.239294 1433.0 3308.0 3.27 6.134
215.055116 53.00085 1345.0 31329.0 5.28 6.14
215.116854 53.001081 1345.0 1065.0 3.48 6.1894
3.560647 -30.326108 2561.0 52621.0 2.1 6.1906
215.166097 53.070755 1345.0 1561.0 2.81 6.206
214.860024 52.898125 2750.0 617.0 1.18 6.2283
3.60033 -30.360686 2561.0 36755.0 2.04 6.2513
53.083113 -27.786351 1180.0 15265.0 2.27 6.2651
53.095171 -27.760609 1180.0 58850.0 3.54 6.268
53.155156 -27.760724 1180.0 14160.0 3.63 6.3139
3.614087 -30.410448 2561.0 8943.0 5.56 6.3271
53.166615 -27.772395 1210.0 8253.0 4.15 6.33
53.17836 -27.800979 1180.0 14123.0 1.72 6.3337
53.17583 -27.774468 1210.0 9423.0 4.86 6.3351
53.131047 -27.809082 3215.0 106197.0 1.6 6.3396
53.134923 -27.772706 1210.0 13197.0 11.53 6.341
3.607181 -30.364817 2561.0 34265.0 2.45 6.352
3.600602 -30.410271 2561.0 8613.0 1.86 6.3785
214.878969 52.896748 2750.0 663.0 3.8 6.5357
214.877883 52.897675 2750.0 662.0 1.76 6.5361
53.162878 -27.769284 1210.0 5447.0 1.07 6.6261
53.169509 -27.753306 1180.0 13647.0 1.94 6.6284
53.169055 -27.778838 1210.0 9903.0 4.35 6.6322
53.105382 -27.723466 1180.0 58930.0 3.48 6.6345
53.151324 -27.819147 1210.0 nan 1.89 6.7074
53.155792 -27.81521 1210.0 nan 2.26 6.7186
3.575939 -30.348028 2561.0 43709.0 3.22 6.7274
214.789822 52.730789 1345.0 81049.0 3.11 6.737
3.582829 -30.360296 2561.0 36857.0 4.81 6.7654
3.533996 -30.353308 2561.0 41225.0 5.06 6.7701
53.147708 -27.71537 1180.0 17509.0 3.57 6.8458
53.156467 -27.76726 3215.0 137573.0 4.5 6.8702
3.580446 -30.405023 2561.0 11254.0 8.67 6.8717
3.582953 -30.395232 2561.0 16155.0 3.32 6.8733
53.117303 -27.764082 1210.0 13609.0 4.04 6.9326
215.077006 52.969504 1345.0 1143.0 3.0 6.9336
215.081406 52.97218 1345.0 717.0 5.78 6.9352
214.941611 52.92913 2750.0 445.0 3.12 6.9806
24.324384 -8.418989 2282.0 3429.0 5.37 6.9915
215.091047 52.954285 1345.0 1102.0 2.01 6.9925
3.579829 -30.401569 2561.0 13123.0 25.45 7.035
215.001115 53.011269 1345.0 44.0 1.4 7.1028
214.859117 52.85364 1345.0 534.0 1.67 7.1135
214.813045 52.834249 1345.0 498.0 1.41 7.1785
134.82222 41.223625 1747.0 138.0 3.06 7.1791
53.118327 -27.76901 1210.0 13905.0 3.09 7.2053
53.152855 -27.801945 1210.0 5115.0 2.98 7.2621
53.155091 -27.801774 1210.0 9315.0 9.98 7.2697
53.167464 -27.772006 1210.0 13682.0 1.19 7.2753
214.990468 52.97199 1345.0 1163.0 2.77 7.4546
101.920529 70.244899 1433.0 3754.0 2.45 7.4721
214.812056 52.746747 1345.0 80432.0 2.26 7.4757
214.927798 52.850003 1345.0 80372.0 2.63 7.4808
214.896054 52.869853 1345.0 80239.0 1.04 7.4842
214.843115 52.747886 1345.0 80445.0 2.08 7.5089
214.940489 52.932556 2750.0 449.0 2.07 7.5524
3.605255 -30.357941 2561.0 38059.0 1.79 7.589
214.806065 52.750867 1345.0 80025.0 1.95 7.6487
53.133469 -27.760373 1180.0 12637.0 5.94 7.6631
215.188413 53.033647 1345.0 1023.0 2.3 7.7785
214.882994 52.840416 1345.0 1027.0 1.74 7.8314
3.603847 -30.382238 2561.0 60157.0 6.35 7.8798
3.596094 -30.385806 2756.0 10025.0 2.19 7.8845
3.601343 -30.379199 2561.0 24531.0 3.83 7.8922
214.944764 52.93145 2750.0 355.0 1.93 7.9246
53.156837 -27.767155 1210.0 5173.0 3.92 7.9807
322.416266 0.099675 2767.0 11002.0 1.6 8.1577
215.089714 52.966183 1345.0 1149.0 2.65 8.1826
24.355077 -8.447929 2282.0 1968.0 2.27 8.2228
53.107761 -27.812944 3215.0 20198852.0 3.1 8.2755
158.18652 50.841591 1747.0 199.0 3.99 8.3173
53.158906 -27.765076 3215.0 20213084.0 5.3 8.4932
3.63696 -30.406362 2561.0 10646.0 16.01 8.5122
215.218762 53.069862 1345.0 1029.0 6.46 8.6139
214.938642 52.911749 2750.0 28.0 7.73 8.7621
53.169133 -27.802921 3215.0 20110306.0 2.5 8.9202
101.90398 70.242978 1433.0 3568.0 2.2 9.2521
3.617202 -30.425534 2561.0 3686.0 7.01 9.321
53.112434 -27.774609 1210.0 58975.0 11.77 9.4362
214.811852 52.73711 1345.0 80026.0 1.62 9.5635
3.568115 -30.383052 2561.0 22223.0 1.99 9.5685
53.1673 -27.807482 1210.0 nan 2.68 9.6886
3.592501 -30.401464 2561.0 13151.0 3.47 9.7982
214.732525 52.75809 1345.0 80041.0 1.23 9.8505
3.567071 -30.377861 2561.0 26185.0 4.0 10.0638
101.971405 70.239724 1433.0 3349.0 6.71 10.1761
3.590111 -30.359742 2561.0 37126.0 2.11 10.2142
53.15884 -27.773492 1210.0 14177.0 2.33 10.4064
214.906633 52.945504 2750.0 10.0 2.52 11.0419
214.922783 52.911528 2750.0 64.0 1.9 11.1168
214.943148 52.942442 2750.0 1.0 2.44 11.4111
53.164762 -27.774626 3215.0 20130158.0 4.1 11.5194
3.513563 -30.3568 2561.0 38766.0 1.63 12.29
53.166346 -27.821557 3215.0 20096216.0 3.2 13.0325
