# Line fluxes are in units of 1e-20 erg s^-1 cm^-2 Å^-1
# z_spec;OII_3727;err_OII_3727;NeIII_3870;err_NeIII_3870;HeI_3889;err_HeI_3889;Hdelta;err_Hdelta;Hgamma;err_Hgamma;Hbeta;err_Hbeta;OIII_4960;err_OIII_4960;OIII_5008;err_OIII_5008;Halpha;err_Halpha;SII_6725;err_SII_6725
5.505042;54.68001;6.131123;49.90059;7.3792186;-1.801137;7.0723796;13.764211;4.302559;21.070229;4.85772;76.907814;3.539054;153.53407;4.258218;467.631;7.4245806;252.6318;4.9941454;16.105097;3.227102
5.505042;19.356812;32.472755;94.69137;50.119358;26.251135;77.897285;47.83372;19.959259;74.23989;24.203066;175.56282;19.759695;331.03696;20.403267;1004.36;31.581955;645.4591;26.338566;6.354405;17.78421
5.51611;80.58916;43.992687;-63.494072;52.136246;41.34759;52.81748;-68.80229;33.369648;6.095399;38.37978;84.942566;25.664103;128.94945;28.13012;335.94055;29.585047;359.76572;30.942062;-6.144242;26.306923
5.51937;3.305274;4.3414245;9.378882;5.5436544;-1.3010309;5.3204775;11.416443;3.3288362;12.393966;3.4501872;27.071484;2.4713693;25.892162;2.3610313;72.38949;2.4675174;84.40901;2.8213496;0.94743955;2.6818562
5.52067;219.8381;50.0646;243.38992;54.455097;-83.6879;59.251316;97.39676;37.1792;-21.679562;48.9478;205.07889;33.19777;466.6853;35.532784;1176.677;46.24369;705.7971;43.537174;54.719345;32.511955
5.52589;108.74345;16.738304;76.54227;20.528715;28.121283;20.477636;35.067097;11.99075;31.2963;12.550531;84.10556;9.229125;204.16528;9.7582655;540.2664;12.912226;336.45862;12.824986;31.492949;11.55371
5.531768;-5.8043528;13.288904;-17.421183;17.406384;19.428894;17.310316;1.1096424;10.0941725;-0.19521761;10.548311;6.454753;8.264558;-5.220355;7.6904197;3.7631166;7.287209;36.768078;8.407079;-15.687205;8.479423
5.540919;29.971909;44.687057;-85.14524;52.131763;70.2176;50.755234;4.324693;33.21746;42.95764;35.48864;28.236511;25.228636;56.712727;24.600412;256.22845;24.207857;171.12234;26.7892;-5.7683496;26.16402
5.544844;50.65273;22.546656;41.217426;29.364658;-35.42551;27.377409;-7.6777325;18.9803;19.586071;20.946095;14.525295;14.808025;38.953148;13.437562;148.81123;13.718725;152.13356;14.449367;13.235647;13.0064745
5.546153;-48.888294;17.498037;40.391228;21.266657;12.803687;19.83625;3.705625;12.999938;18.991232;14.360991;137.34735;10.913236;213.41415;11.704221;664.3579;16.605179;337.62085;14.677182;15.110616;10.932902
5.55139;69.63316;14.968147;45.54156;18.575886;51.98848;18.220531;42.715725;12.270097;82.36351;13.085909;167.26212;10.038323;242.4825;10.834216;736.75;15.282759;564.125;15.67815;8.61488;10.9612875
5.55336;115.52954;17.303404;27.901653;20.598995;51.770317;20.233547;19.254028;13.587541;35.172874;14.56516;107.81329;10.627756;189.45883;11.020834;553.3349;14.4298;332.40167;14.619426;10.724278;11.245638
5.55336;115.52954;17.303404;27.901653;20.598995;51.770317;20.233547;19.254028;13.587541;35.172874;14.56516;107.81329;10.627756;189.45883;11.020834;553.3349;14.4298;332.40167;14.619426;10.724278;11.245638
5.55336;115.52954;17.303404;27.901653;20.598995;51.770317;20.233547;19.254028;13.587541;35.172874;14.56516;107.81329;10.627756;189.45883;11.020834;553.3349;14.4298;332.40167;14.619426;10.724278;11.245638
5.55729;92.50219;37.71577;55.92476;46.230297;69.46955;48.117546;77.1862;28.062162;110.08496;35.53995;387.41632;26.277945;606.6006;27.367798;1753.3385;44.646538;1180.9556;36.927944;7.1181545;20.123857
5.560571;112.67846;31.735369;121.74734;39.339672;14.922358;40.070686;28.589127;24.568;35.374985;30.427399;165.59244;25.758087;289.7805;23.623663;675.94;25.885424;455.30356;19.459167;47.235798;20.001957
5.56582;107.59818;6.2277036;54.294388;7.4044023;0.72566867;7.158121;17.89449;4.621238;40.776226;4.8799944;87.33544;3.6765049;189.7274;3.9557915;564.13275;5.947528;302.93683;4.7701373;19.734917;3.7193105
5.57108;7.6781473;3.833072;-2.6895273;4.5394974;5.710452;4.409713;-1.7761459;2.8475862;0.17543758;2.9248652;1.6887058;2.0456655;5.331065;1.939954;27.453875;1.9186513;18.849972;2.2348027;3.7651458;2.214776
5.571733;130.63048;7.0408077;45.22044;7.6042957;14.140483;7.32995;22.51464;4.9057016;34.268215;5.2437296;71.79445;4.0132217;161.06172;4.7962246;451.76257;7.888308;259.12686;5.2430935;32.613564;3.4758751
5.59148;47.571438;40.53429;-96.871376;47.723183;67.02662;46.561447;-23.730803;34.710506;53.441628;32.678528;13.3749485;27.123774;108.32252;23.586124;169.71748;23.602041;138.32585;26.395567;-5.9903936;25.797838
5.60137;386.65057;24.737497;99.9443;27.311901;16.91979;26.809067;63.62382;19.012941;112.16254;20.07096;218.00638;15.895507;413.92245;17.895689;1140.0295;25.542738;939.8754;23.590422;87.6983;15.064258
5.60137;386.65057;24.737497;99.9443;27.311901;16.91979;26.809067;63.62382;19.012941;112.16254;20.07096;218.00638;15.895507;413.92245;17.895689;1140.0295;25.542738;939.8754;23.590422;87.6983;15.064258
5.60137;386.65057;24.737497;99.9443;27.311901;16.91979;26.809067;63.62382;19.012941;112.16254;20.07096;218.00638;15.895507;413.92245;17.895689;1140.0295;25.542738;939.8754;23.590422;87.6983;15.064258
5.602693;107.20514;33.389378;135.35883;42.304832;-54.91702;40.555534;21.315735;30.243147;76.36558;25.916487;145.99997;22.883434;254.73473;24.20429;600.4077;26.846575;553.3697;33.2755;17.9836;22.144098
5.606;-11.357671;19.259861;4.2103004;25.651243;-11.304299;24.051884;0.16928542;14.644386;17.312366;15.301659;73.82282;12.259634;53.658897;10.994908;159.00194;11.889274;189.14336;16.633457;8.419384;13.517432
5.60666;416.46545;25.008657;143.68887;28.676336;-8.8551;27.634552;48.440697;17.507795;79.05171;18.719917;272.4113;14.665955;473.86252;16.306211;1331.7805;24.928667;1024.3901;22.88168;91.89878;12.811985
5.61261;92.69724;46.39639;83.44196;49.943882;-19.076586;52.490868;-20.793879;30.09046;1.3962048;34.48475;40.96393;22.339685;76.155785;22.569328;248.34612;21.028263;109.13531;30.438505;25.858475;39.605843
5.61525;14.564791;8.506347;3.0354986;10.252495;5.744704;9.862702;-9.884454;6.5326824;8.864925;6.3710113;16.272432;4.421478;19.530079;4.5154543;63.462345;4.4353647;50.531567;5.021921;0.12812121;4.977285
5.616573;44.269043;31.256304;18.330307;36.201046;12.411099;36.253445;-22.782206;26.027609;73.28068;32.108696;19.758944;19.835941;-8.389428;22.342812;70.827126;23.189697;119.490685;26.166674;26.455305;27.667278
5.617897;81.975365;26.695509;68.91395;40.99818;2.5393634;61.963867;57.243893;17.895887;7.274853;18.381306;100.98092;18.739267;236.91371;22.22089;593.5173;21.70122;420.9099;23.686842;49.269463;18.067225
5.622531;11.732303;11.594798;-8.449205;13.104468;15.263883;12.816054;4.5522385;8.6436405;-1.6519476;9.195527;25.178534;7.1668696;28.73179;7.0717254;95.75381;6.8634963;92.84553;8.039382;2.7975004;7.275408
5.62651;-9.8370695;37.95691;-24.206411;43.549168;-10.285879;44.580376;-52.504494;31.999311;5.7724533;38.70925;1.0333265;23.452868;60.66074;25.436317;135.00473;26.621126;121.89005;26.110897;24.397718;25.790813
5.627831;503.18057;26.33455;184.00786;30.43111;8.785232;29.645395;32.464878;19.19792;61.39235;19.9658;258.85202;14.948638;582.6913;18.806774;1463.3333;20.89092;916.0552;19.840532;73.35179;15.146684
5.630483;166.61154;22.02457;45.49976;24.545149;29.880896;26.668354;27.479965;19.659197;66.457275;17.14252;123.214005;13.264053;243.57512;14.692965;726.6875;18.498808;420.99042;20.358414;37.07159;15.053421
