# z-spec OII_3727 err_OII_3727 NeIII_3870_HeI_3889 err_NeIII_3870_HeI_3889 Hdelta err_Hdelta Hgamma err_Hgamma Hbeta err_Hbeta OIII_5008 err_OIII_5008 Halpha err_Halpha SII_6725 err_SII_6725
5.8051 5.3 0.7 6.0 0.8 1.4 0.6 4.9 0.7 7.3 0.6 52.8 0.6 27.1 0.5 1.1 0.5
5.8215 0.7 0.3 0.7 0.3 0.4 0.2 1.2 0.2 1.9 0.2 7.5 0.2 5.9 0.2 0.5 0.2
5.8215 0.7 0.3 1.4000000000000001 0.3 0.9 0.3 1.9 0.3 2.9 0.2 10.5 0.2 8.6 0.2 0.2 0.2
5.829 3.9 1.7 4.0 2.1 5.9 1.6 3.5 1.7 5.1 1.5 36.7 1.5 26.5 1.4 1.2 1.3
5.8304 6.5 0.4 2.8 0.5 1.5 0.4 2.4 0.4 2.9 0.3 16.4 0.3 12.2 0.3 1.8 0.3
5.8427 1.7 0.6 1.9 0.7 0.4 0.6 0.3 0.6 1.8 0.5 10.6 0.5 5.9 0.5 0.5 0.4
5.8434 -0.7 3.3 5.7 4.7 1.6 3.1 9.2 4.0 18.1 2.8 52.2 2.6 140.6 3.0 -0.9 2.4
5.8639 3.0 0.9 0.7 1.0 0.1 0.8 0.30000000000000004 0.8 4.2 0.7 19.8 0.8 12.0 0.7 1.3 0.6
5.8744 10.7 1.4 6.0 1.75 1.5 1.3 2.5 1.45 7.5 1.2 40.0 1.3 22.8 1.1 3.2 1.0
5.8777 13.0 3.7 17.0 4.9 5.9 3.5 17.6 4.1 28.7 3.2 156.3 3.1 192.4 3.2 2.6 2.8
5.8928 1.4 0.4 1.9 0.5 0.6 0.4 2.9000000000000004 0.4 3.4 0.4 19.9 0.4 10.3 0.3 0.5 0.3
5.9156 4.6 1.1 7.4 1.3 2.5 1.1 8.4 1.1 7.0 1.0 44.0 1.0 19.2 0.9 0.4 0.8
5.917 42.6 2.8 19.9 3.5 6.7 2.7 12.8 3.0 35.6 2.5 221.8 2.5 150.5 2.3 7.7 2.1
5.919 1.5 0.8 2.5999999999999996 1.0 0.3 0.8 2.4 0.9 3.3 0.7 12.8 0.7 11.4 0.7 1.0 0.6
5.9204 3.4 0.3 1.8 0.4 0.7 0.3 1.1 0.4 1.6 0.3 12.3 0.3 7.1 0.3 1.1 0.3
5.9204 3.0 1.0 2.9000000000000004 1.1 0.3 0.9 3.6 1.0 2.8 0.8 20.0 0.9 12.5 0.8 1.1 0.7
5.9232 10.6 1.7 11.5 2.0 5.3 1.6 7.5 1.8 15.6 1.5 87.9 1.6 44.5 1.4 -1.5 1.3
5.9253 2.2 0.7 3.9000000000000004 0.7 1.4 0.7 2.5 0.7 5.5 0.6 23.7 0.6 16.9 0.5 0.4 0.5
