# z-spec M_UV O3Hb_EW err_O3Hb_EW Beta_UV err_Beta_UV DLya err_DLya SFR err_SFR Xi_ion err_Xi_ion O_32 err_O_32 logOH err_logOH
5.8051 -19.15791372129155 1441.6 73.0 -1.84 0.03 59.3 3.9 2.0426563150332555 0.26978479632514696 3.545078262975944e+25 2.9137629558706385e+24 9.962264150943396 1.3206318869629976 7.947696299173648 0.1518949870039158
5.8215 -17.755300291330258 3186.9 29.3 -1.93 0.08 63.2 14.8 0.27156108912780724 0.1163833239119174 3.363585608098109e+25 3.5406164295769574e+24 10.714285714285715 4.600717036630852 7.3486096860303585 0.1518949870039158
5.8215 -18.075300291330258 2318.4 51.0 -2.47 0.05 -90.7 6.5 0.27156108912780724 0.1163833239119174 3.8224635196145685e+25 2.63618173766522e+24 15.000000000000002 6.4349175026029775 7.280445034933059 0.1518949870039158
5.829 -20.044107218203987 449.2 62.9 -1.95 0.07 42.5 6.5 1.5175209446060942 0.6614834886744513 1.1061276529607843e+25 3.253316626355248e+24 9.41025641025641 4.119898916281734 7.896283349963487 0.1518949870039158
5.8304 -18.463884656350324 563.2 73.3 -1.75 0.05 40.6 4.2 2.530614692846273 0.15573013494438603 2.6924038909772073e+25 2.7852454044591797e+24 2.523076923076923 0.16198084082498754 7.759757071871175 0.1518949870039158
5.8427 -18.061931250184802 1270.1 36.1 -2.48 0.15 26.0 5.9 0.6651050194882997 0.234742948054694 2.425391098604608e+25 6.737197496123912e+24 6.235294117647059 2.2202591407157524 7.655324662185366 0.1518949870039158
5.8434 -18.9218201863545 290.8 72.5 -1.41 0.09 -6.7 1.4 -0.2739430865769654 1.2914459795771227 1.1067252274007259e+26 1.7120611252607913e+25 -74.57142857142858 -351.57064136299584 4.70280903841629 0.1518949870039158
5.8639 -18.928572630848752 4451.3 55.2 -2.73 0.13 43.6 9.9 1.183642184560198 0.3550926553680594 2.546812407480628e+25 4.244687345801046e+24 6.6000000000000005 1.9978766506246357 7.495310750194755 0.1518949870039158
5.8744 -20.43691300303895 239.6 69.7 -1.81 0.04 41.9 3.3 4.239254762483549 0.5546688474277541 1.1400703819288853e+25 1.8241126110862165e+24 3.738317757009346 0.503989139769818 7.652834996641365 0.1518949870039158
5.8777 -20.016391929232842 892.0 68.1 -2.07 0.11 70.7 14.1 5.157226061764303 1.4678258791175325 6.47487204629926e+25 7.219369528974785e+24 12.023076923076925 3.4302512927240336 7.544264612275535 0.1518949870039158
5.8928 -18.544010806795328 2131.7 45.3 -2.35 0.07 -92.8 9.4 0.5587163932508099 0.15963325521451713 2.9894637711330228e+25 3.517016201332968e+24 14.214285714285714 4.071262336128604 7.594658038911927 0.1518949870039158
5.9156 -19.420425335927547 740.1 56.5 -2.54 0.12 -47.4 6.3 1.852335473602059 0.4429497871657099 2.7834078581052277e+25 3.9762969401503256e+24 9.56521739130435 2.2976419482070747 7.7090053507790195 0.1518949870039158
5.917 -19.980205560803295 1382.0 70.0 -1.7 0.07 74.5 10.2 17.163674738869172 1.128128856075908 8.402899358623027e+25 5.900912470943137e+24 5.206572769953052 0.34721147283253756 7.79745738435231 0.1518949870039158
5.919 -19.169891673491264 487.1 42.7 -2.06 0.09 -48.9 9.6 0.604829643224287 0.32257580971961974 1.6546508533500256e+25 3.509865446500054e+24 8.533333333333333 4.574974330360422 7.337260482585681 0.1518949870039158
5.9204 -19.449672006353694 417.3 70.9 -2.41 0.02 35.1 1.3 1.3717009739858794 0.121032438881107 6.131122133798209e+24 1.1495854000871641e+24 3.61764705882353 0.3311748147747903 8.036582633086159 0.1518949870039158
5.9204 -19.429672006353695 106.2 68.1 -1.91 0.08 56.4 10.9 1.2103243888110702 0.4034414629370234 1.0970575278734432e+25 3.1344500796384093e+24 6.666666666666667 2.242380789459781 7.93826318539147 0.1518949870039158
5.9232 -20.23923280536338 839.9 62.2 -2.08 0.06 61.6 11.1 4.281181693122752 0.6866046111611962 2.8896330209374194e+25 2.7784932893629035e+24 8.29245283018868 1.3384601542936045 7.629268149277065 0.1518949870039158
5.9253 -19.26890352117412 896.6 52.2 -2.3 0.08 15.5 2.0 0.889279474616034 0.28295256010510167 2.5127921310523106e+25 2.7412277793297934e+24 10.772727272727272 3.438518742125663 7.408268430147064 0.1518949870039158
5.928 -18.878480302476774 2633.3 39.7 -1.95 0.14 64.2 20.3 3.277633814390862 0.6069692248871967 7.32599882423881e+25 8.503391492420048e+24 10.444444444444445 1.9408037421230602 7.934607844434531 0.1518949870039158
5.928 -19.848480302476773 825.6 59.3 -2.28 0.08 44.1 7.4 2.4683415145412666 0.4046461499247978 1.7363795604750866e+25 2.4042178529655046e+24 9.262295081967213 1.5255603310636292 7.942593247665577 0.1518949870039158
5.9294 -20.38826092067473 7.6 68.4 -2.15 0.05 34.4 3.1 0.5668155936938493 0.36438145308890313 6.484739282107028e+23 1.2969478564214057e+24 2.6428571428571432 1.7925016780250491 8.000107858285185 0.1518949870039158
5.9294 -19.93826092067473 1356.6 59.0 -2.1 0.1 61.8 11.2 3.846248671493978 0.6073024218148386 2.6539648767191712e+25 3.1945873516064093e+24 9.221052631578948 1.4633948167791269 7.949258970847018 0.1518949870039158
5.9301 -19.07815124639442 2391.3 50.0 -2.17 0.16 29.4 7.2 4.292781342870206 0.6479669951502198 7.929051371964233e+25 7.603199945719127e+24 11.018867924528301 1.669234397899713 7.935397303632068 0.1518949870039158
5.9301 -18.91815124639442 210.6 62.0 -1.97 0.1 29.5 4.0 1.7009133622693269 0.2834855603782211 8.204997624820447e+24 3.7869219806863603e+24 1.9047619047619047 0.3481224158644652 7.827318527912177 0.1518949870039158
5.9308 -19.2580415831916 2768.1 44.1 -1.97 0.1 52.9 13.8 3.5647962193596925 0.6076357192090385 4.610587734982542e+25 5.993764055477306e+24 11.874999999999998 2.029531317553583 7.942121439783144 0.1518949870039158
5.9315 -18.927931931064037 1062.3 71.0 -2.28 0.04 34.2 2.4 1.1345644904207348 0.32416128297735286 4.404752980022274e+25 4.3427142056557626e+24 13.321428571428571 3.814324068118283 7.516747376945947 0.1518949870039158
5.9315 -19.567931931064038 784.8 61.0 -1.51 0.1 84.0 22.0 3.363173310890036 0.4457217640938602 2.624576326401948e+25 3.1080509128444125e+24 7.16867469879518 0.9562332299399164 7.978183470392216 0.1518949870039158
